node	a_force.x	a_force.y	g_force.x	g_force.y	r_force.x	r_force.y	global_speed	move_node.x	move_node.y
0	-1199629.500000	110513.726562	-75.361877	-10.750932	4046316.750000	-4699388.000000	8.587397	-21333.992188	-3824.702637
1	-664271.437500	193118.812500	-32.523357	6.781876	76708760.000000	-1373755.125000	8.587397	-10173.413086	1418.817505
2	930731.500000	-151200.968750	42.868572	0.121729	-107265528.000000	659610.625000	8.587397	18271.929688	-1353.061646
3	31948.029297	11227.709961	5.716008	-6.947102	-3233449.500000	7191478.000000	8.587397	-422.606476	-1011.499390
4	-1836828.250000	-1548685.125000	-69.574341	-58.394821	18270632.000000	5051528.000000	8.587397	-24372.187500	-19212.011719
5	1059251.250000	612492.500000	37.645298	20.040068	-112939984.000000	-54727780.000000	8.587397	10105.151367	6353.126465
6	-1700925.125000	-1031368.125000	-98.817497	-68.284286	10919995.000000	3174789.000000	8.587397	-26031.527344	-13988.772461
7	135919.937500	-539337.625000	12.409598	-30.674257	5547835.500000	43561576.000000	8.587397	76.093277	-7408.237793
8	1153829.500000	2265875.500000	78.047592	84.869270	-27190034.000000	-58208344.000000	8.587397	14578.259766	23248.640625
9	21444.140625	2497.646484	-4.144011	0.317441	-18851072.000000	-5100278.000000	8.587397	1183.701416	-442.772736
10	-535823.000000	184316.812500	-28.235231	2.784443	63869932.000000	-5054733.000000	8.587397	-8128.377441	3042.828857
11	104436.570312	-94776.109375	16.600605	-20.947346	-1446813.625000	13564615.000000	8.587397	767.962097	-4207.690430
12	4127401.000000	-1554260.250000	132.933350	-91.180359	-103954232.000000	41643460.000000	8.587397	33866.402344	-15651.799805
13	-24012.306641	-18845.394531	-9.242119	-7.308833	4677316.000000	8218611.000000	8.587397	-1033.718262	-832.995728
14	195389.062500	-63847.195312	14.517582	0.205608	-47516252.000000	14283080.000000	8.587397	8419.383789	-1180.800903
15	-1612160.000000	-593924.500000	-66.960251	-41.245518	19992038.000000	-4918101.500000	8.587397	-20686.398438	-9271.630859
