node	a_force.x	a_force.y	g_force.x	g_force.y	r_force.x	r_force.y	global_speed	move_node.x	move_node.y
0	-1478609.750000	152199.812500	-4.441696	17.282290	99868704.000000	22895488.000000	11.254750	-3023.726807	-763.028748
1	-541021.000000	257285.921875	-1.345583	14.539158	163303184.000000	22644608.000000	11.254750	8723.522461	2515.189209
2	941592.562500	-153789.296875	2.860672	25.831470	-217695312.000000	27567442.000000	11.254750	-5679.273926	1601.374756
3	33308.718750	15779.375977	9.307729	-6.962461	-3734040.000000	7363103.000000	11.254750	-1080.328125	1157.462036
4	-590289.937500	-258700.765625	-1.430275	2.057911	31079656.000000	21531822.000000	11.254750	-4657.870605	-3493.769043
5	808053.937500	645984.062500	-5.327576	15.109883	-176875344.000000	-70557680.000000	11.254750	-9609.926758	-2187.902344
6	289012.375000	51473.937500	7.750755	-14.702568	69686704.000000	35768172.000000	11.254750	-4663.905762	-2741.563477
7	51658.648438	-444615.718750	33.477898	-57.288307	-24178024.000000	-43939752.000000	11.254750	-1902.267822	-5214.399414
8	956319.875000	1905001.500000	14.174324	-9.563156	-109531816.000000	-172732960.000000	11.254750	2234.494385	3378.611084
9	16111.607422	18134.755859	-1.378469	3.489996	-21417196.000000	-4268240.000000	11.254750	-1852.230469	-847.073547
10	-601815.937500	97520.640625	-54.251976	-9.314419	-14823093.000000	-47337368.000000	11.254750	-4899.793457	-2438.774658
11	109917.421875	-94656.429688	26.948408	-14.130793	24049812.000000	12108926.000000	11.254750	3065.112793	-61.054092
12	425815.437500	231786.562500	-0.715408	0.667606	-140847808.000000	68461360.000000	11.254750	6372.763672	-2304.450195
13	-20620.757812	-20271.330078	-7.645921	-10.680746	4529163.000000	9665897.000000	11.254750	975.002991	1592.886597
14	227399.156250	-164685.609375	0.677361	1.331015	-91218264.000000	-1021309.125000	11.254750	-3781.810303	-1266.963135
15	-1647434.375000	-567774.312500	0.451416	-2.050728	104431072.000000	43374996.000000	11.254750	-2887.604736	-1500.546509
16	-604189.250000	-132693.953125	9.068495	1.507114	124393544.000000	-63672324.000000	11.254750	7471.550293	-6094.753418
17	-1652224.750000	-2960194.500000	30.921844	-17.479355	-7449784.000000	-19073636.000000	11.254750	4288.791504	7738.515625
18	-125569.804688	79187.546875	-1.875983	12.072590	62205576.000000	23730602.000000	11.254750	2476.415039	3218.567139
19	51275.812500	195239.312500	33.075958	21.893417	71075000.000000	-83309008.000000	11.254750	4324.807129	-5458.931152
20	390804.031250	1183979.375000	4.985577	-7.958702	-78768128.000000	-248563744.000000	11.254750	-2763.507812	-6669.311523
21	3829062.250000	-2734286.750000	42.970665	68.074188	-287623648.000000	316996512.000000	11.254750	5610.023926	-4710.815430
22	239114.765625	-56398.886719	90.002625	57.169197	34204944.000000	80737936.000000	11.254750	4052.302734	3688.716553
23	382963.750000	1601645.250000	29.893829	-6.378616	-40546388.000000	-194958624.000000	11.254750	183.984161	3788.924072
24	-104782.570312	91740.726562	5.747243	-0.810626	39760092.000000	-20233440.000000	11.254750	2899.151123	-3027.007568
25	3740808.000000	-3750250.250000	69.912277	69.020660	-84965744.000000	143222912.000000	11.254750	4888.212402	-5110.954590
26	-1019833.625000	-1054324.250000	7.968292	-1.273445	110166456.000000	142400080.000000	11.254750	3508.007812	5812.836426
27	526841.000000	-291891.937500	8.840195	14.962521	-9491284.000000	25253452.000000	11.254750	-6116.583496	3014.827637
28	307569.625000	-266878.625000	37.081169	4.654940	-6845026.000000	85808312.000000	11.254750	2794.277100	4045.131836
29	-686659.250000	-1091386.375000	7.055161	1.456718	236696256.000000	78374696.000000	11.254750	-3155.789307	-1724.148682
30	26944.943359	1522.476562	3.006516	2.394128	13994636.000000	-11396280.000000	11.254750	1316.318481	-1170.584717
31	297906.000000	3961.015625	38.534592	15.156470	-19387550.000000	46832972.000000	11.254750	2123.524170	-1874.238159
32	-177397.531250	-77353.367188	1.709908	-4.358561	70924976.000000	55755788.000000	11.254750	3535.074219	2796.971191
33	27706.976562	44161.781250	-5.192353	11.458200	8120692.500000	-6896524.500000	11.254750	-2444.673340	537.703674
34	927204.812500	798571.687500	-8.475353	18.927275	-176356048.000000	-84829928.000000	11.254750	-6415.171875	-1839.165894
35	-974102.375000	-1104320.750000	-0.062340	1.315041	111930688.000000	169432720.000000	11.254750	2769.636719	5305.430664
36	1642744.750000	-2900834.000000	5.657055	2.534866	-195136416.000000	255898928.000000	11.254750	2457.684570	-4186.865723
37	557679.312500	31824.095703	49.168884	12.461661	-114285072.000000	-31433778.000000	11.254750	-5209.296387	-4824.139648
38	-1737376.250000	-5057816.500000	-19.378994	-6.151138	74119704.000000	564363264.000000	11.254750	-891.892700	-4784.700195
39	-308078.531250	-327045.312500	6.922792	-11.072101	152499232.000000	66760336.000000	11.254750	9100.490234	974.755371
40	458463.125000	-172676.343750	6.947826	-3.538176	-124003832.000000	-7521605.000000	11.254750	-5545.385254	1402.883545
41	-90154.710938	282.942139	-11.974890	-10.218948	-22926558.000000	-7461954.000000	11.254750	-2586.070557	-1061.643433
42	629638.187500	-1103294.750000	23.645908	4.238144	-31777304.000000	142235904.000000	11.254750	499.973419	-3930.663818
43	446270.750000	-595219.937500	44.782787	16.180946	-32706930.000000	133931864.000000	11.254750	-1821.613281	9916.142578
44	104985.492188	-1044208.937500	14.635943	-3.657444	-889033.687500	276605024.000000	11.254750	338.041595	8803.153320
45	-65273.707031	24973.765625	-0.413044	9.667304	29523086.000000	11165626.000000	11.254750	18.825750	3610.022705
46	-1131595.250000	-412377.000000	-2.207077	1.680346	281188064.000000	97973176.000000	11.254750	7251.005371	2419.572998
47	4553833.500000	-6321311.000000	158.588593	-213.282898	105684496.000000	-194062688.000000	11.254750	5401.723633	-9048.283203
48	-476027.187500	1075903.875000	-8.560881	101.467163	-52101624.000000	-25938754.000000	11.254750	-6064.712891	2632.413818
49	64175.718750	-83807.406250	17.793983	-3.543598	358318.718750	36360052.000000	11.254750	3872.022217	-1103.819580
50	-35060.902344	-15853.630859	-3.191468	-1.138462	6787371.000000	-3592872.250000	11.254750	-2082.208008	-1271.328491
51	-760070.187500	73813.265625	-3.334644	-22.359951	63886172.000000	-108695304.000000	11.254750	354.200043	-5694.977539
52	89609.023438	56420.425781	39.781921	19.258574	-35560680.000000	100950704.000000	11.254750	416.632446	4959.747070
53	1395654.750000	346074.812500	5.593544	32.780869	-257124160.000000	8047961.000000	11.254750	-7506.499023	1058.934937
54	-703655.000000	-1226622.125000	14.506611	-15.795586	157562384.000000	159170704.000000	11.254750	6615.051758	5214.964844
55	-141658.718750	77677.648438	10.830794	30.576921	82479376.000000	-25696496.000000	11.254750	4684.705078	196.427078
56	128943.640625	858407.125000	-24.911585	45.226437	-136177488.000000	-80480968.000000	11.254750	-6765.119141	-1007.735596
57	-1705760.500000	-2629846.500000	-2.852036	0.984772	82706544.000000	143055280.000000	11.254750	-1294.031372	-2113.619141
58	352893.906250	-54035.121094	18.652733	49.128250	-132566176.000000	-9148017.000000	11.254750	-5605.969238	1404.271606
59	57688.113281	-42542.406250	6.967513	8.799007	-70238032.000000	15392806.000000	11.254750	-3132.647705	584.460938
60	-933933.125000	781893.937500	17.928040	25.633884	161756560.000000	-119890352.000000	11.254750	5671.649902	-3611.081055
61	565396.187500	143611.437500	1.289635	11.514127	-163287584.000000	-10130249.000000	11.254750	-8349.605469	1347.970581
62	-227222.203125	-651012.000000	12.840230	-37.269943	32255900.000000	83973.320312	11.254750	2127.129395	-4015.856689
63	-3427043.500000	-668395.500000	1.507835	-1.144465	207265088.000000	43763724.000000	11.254750	-2648.615479	-385.969391
64	10416378.000000	2598915.000000	244.337708	42.659363	128550624.000000	21089128.000000	11.254750	8743.498047	1654.432007
65	-14268.375000	283306.375000	8.836807	5.963028	56316212.000000	-47910208.000000	11.254750	-3007.602539	4146.732422
66	684888.312500	-843483.312500	-9.279922	25.317257	-185514576.000000	76136584.000000	11.254750	-6552.633789	421.551422
67	-836154.687500	592147.500000	13.622517	20.369118	147535104.000000	-98720920.000000	11.254750	5357.458984	-3380.904053
68	33046.347656	195821.390625	0.440955	31.539988	-5672641.500000	-34155572.000000	11.254750	-856.762756	-6450.525879
69	145514.000000	19431.312500	-1.753773	0.925545	27970698.000000	69666432.000000	11.254750	-2440.065186	-7353.340332
70	367417.875000	-62234.296875	34.789177	20.910494	-34509664.000000	73690064.000000	11.254750	-701.136536	5158.857910
71	628074.937500	407724.687500	44.236324	56.733730	-94140808.000000	-44640944.000000	11.254750	-3334.986816	3096.429932
72	-627104.750000	-32676.083984	-40.489624	-16.259533	-7179563.500000	-71490624.000000	11.254750	-3387.160156	-4376.521484
73	37617.097656	24520.109375	4.612793	-1.002989	-3099624.500000	-18061338.000000	11.254750	-656.298218	-1749.619141
74	596141.562500	-156816.312500	47.710815	15.667988	-59176896.000000	33401016.000000	11.254750	1261.373169	-328.274689
75	-239749.359375	-765244.250000	20.666594	-3.294235	2095261.875000	-22698404.000000	11.254750	1074.287964	6819.094727
76	-1336092.375000	-5544655.000000	16.751125	-4.903946	161200160.000000	551373632.000000	11.254750	-1334.820435	-4950.924805
77	3810060.000000	-4531625.000000	166.874146	-199.920837	184363744.000000	-219368800.000000	11.254750	7505.744141	-9236.659180
78	1035808.312500	1977639.500000	38.672741	-2.009186	-122375664.000000	-162883120.000000	11.254750	1244.926636	3707.622070
79	-15956.543945	-3774.942871	-5.517744	10.053651	2876498.500000	-7916102.000000	11.254750	1677.680664	-1590.563110
80	66516.531250	-38572.781250	19.792892	-13.262230	7651513.500000	-8099067.000000	11.254750	250.012192	-2291.394531
81	44948.359375	-113613.164062	14.235141	-1.116026	-14183881.000000	20904736.000000	11.254750	1511.280640	-614.133667
82	-48723.214844	-10861.268555	0.109822	9.549899	26438426.000000	15172216.000000	11.254750	230.671494	2657.996582
83	-795968.125000	-992857.250000	25.737209	-19.124325	198712560.000000	115436112.000000	11.254750	7567.744141	283.313782
84	-190257.343750	937005.062500	6.602833	45.937233	144222224.000000	-29247342.000000	11.254750	6967.917480	1020.615112
85	91220.710938	1942.369263	21.437103	1.829970	15128734.000000	1689950.000000	11.254750	2125.468018	1121.772705
86	-417167.687500	-287186.500000	-1.508078	8.492111	29039556.000000	19905542.000000	11.254750	-2405.960938	-666.590210
87	-24392.048828	45728.843750	14.772539	18.367386	-353994.562500	3484702.250000	11.254750	-941.473328	3045.802246
88	222506.296875	26055.134766	24.966970	-12.526094	12742721.000000	3596248.750000	11.254750	2124.614746	-1405.296265
89	191484.921875	-49737.378906	49.753033	12.497063	23329158.000000	-2977518.250000	11.254750	4150.946289	-1130.115845
90	-31517.685547	-219867.843750	5.794209	-3.568434	64434724.000000	85141224.000000	11.254750	1600.586914	3519.668457
91	40985.105469	63388.496094	16.335266	13.271641	-4731632.000000	-11053192.000000	11.254750	1931.562744	381.861420
92	-344102.875000	326862.500000	11.255668	9.026800	44089288.000000	-111536048.000000	11.254750	1082.655884	-7568.279297
93	17639.105469	-14520.491211	0.864592	1.611331	-14024802.000000	7589453.500000	11.254750	-1537.391846	674.784851
94	26404.695312	-91252.312500	5.276180	-13.266357	-15769767.000000	26370362.000000	11.254750	-237.243088	-1364.848145
95	-104375.703125	149974.453125	-7.673006	16.511038	79397776.000000	-35084452.000000	11.254750	4535.498535	710.486328
96	-107614.078125	413988.125000	32.138428	30.031971	18020464.000000	-33062382.000000	11.254750	3121.099609	77.843513
97	117853.273438	68482.843750	28.411846	10.060888	-32342746.000000	-57290176.000000	11.254750	-2846.788330	-1701.961182
98	-41442.988281	-28251.748047	-15.561441	-11.885811	-8358785.000000	-3300871.000000	11.254750	-2147.803955	-1194.864380
99	7637359.000000	2725454.500000	-1.302277	3.205193	-631049472.000000	-147178848.000000	11.254750	7425.131348	2136.988770
100	1801993.250000	-107122.968750	-0.402466	7.156748	-80599568.000000	-21465406.000000	11.254750	-11558.183594	-2430.936279
101	-2789170.750000	1577150.000000	1.968964	11.024925	23179684.000000	-878799.187500	11.254750	8436.707031	-1938.702393
102	-522370.625000	287498.812500	0.387924	-0.804946	-85708824.000000	2389787.000000	11.254750	7200.602539	-596.433838
103	884460.437500	2200763.500000	7.797213	-3.518166	-100910160.000000	-206472496.000000	11.254750	1292.447021	3035.984131
104	1183424.250000	1539244.250000	133.925446	236.222290	-280951008.000000	191380592.000000	11.254750	-9388.889648	5707.625488
105	54322.039062	-22932.400391	21.801838	4.182916	-10872864.000000	7636884.000000	11.254750	2435.974121	-785.766541
106	-4070692.500000	-4227127.000000	-149.048706	-142.282928	-141086720.000000	-133686832.000000	11.254750	-6478.394043	-6350.099121
107	-6343159.000000	7061267.500000	-114.466621	160.935974	-47993476.000000	78154944.000000	11.254750	-4692.021484	5688.391602
108	258620.281250	1716532.000000	34.686344	0.207909	-16314442.000000	-145771888.000000	11.254750	-1048.578613	-10072.227539
109	902797.000000	912879.000000	-0.039463	1.933950	-222482080.000000	-154112144.000000	11.254750	-5521.848633	-3580.822510
110	-403657.000000	1433664.750000	13.294636	4.464596	34104968.000000	-183921136.000000	11.254750	1875.343384	-6909.584473
111	81606.625000	-286812.000000	15.398388	-5.085991	-20978458.000000	-53364420.000000	11.254750	1586.882324	5974.090820
112	1888970.500000	-2149828.500000	22.340359	19.279743	-243364256.000000	279901152.000000	11.254750	3144.255615	-3315.849121
113	-1391365.375000	-3354183.000000	41.359741	-43.030319	19058162.000000	129643952.000000	11.254750	3468.737305	8241.177734
114	4239918.000000	-568127.312500	20.681946	39.263721	-283749856.000000	14144312.000000	11.254750	4617.506836	-531.578003
115	1258628.375000	835832.625000	92.701324	131.378159	84484952.000000	41292296.000000	11.254750	6860.888672	-51.947666
116	1350269.375000	-874194.500000	29.199465	18.907333	-107473152.000000	115437264.000000	11.254750	-3097.011963	5514.373047
117	-1138070.125000	813609.875000	23.288788	25.388985	177838912.000000	-161486528.000000	11.254750	5175.348633	-4778.970215
118	-173882.078125	862474.125000	28.734093	2.897243	29275106.000000	-210165008.000000	11.254750	882.402832	-6337.802246
119	-188993.718750	-861317.625000	-25.385975	-71.605881	-41890936.000000	44967116.000000	11.254750	-4342.857422	-3460.822266
120	698807.500000	1043038.937500	-15.321625	21.181967	-179972976.000000	-113673848.000000	11.254750	-6555.476562	-2725.973145
121	320586.312500	95914.875000	31.319277	40.720207	-140819312.000000	2371508.500000	11.254750	-7886.564941	2301.678467
122	9512.250000	1054316.375000	14.760996	65.377350	73567952.000000	-39837380.000000	11.254750	4012.878906	2242.717285
123	782644.625000	-372820.718750	43.881416	-22.162201	80204016.000000	86435552.000000	11.254750	6983.865723	11848.623047
124	1479050.750000	-1307274.500000	12.667633	13.587254	-128921504.000000	87510352.000000	11.254750	2563.799561	-1898.454468
125	-306457.625000	170177.875000	24.067472	7.411194	-12130856.000000	40834176.000000	11.254750	1729.185669	-6495.202148
126	218054.406250	38127.515625	16.423489	-9.789434	-54264396.000000	-55983420.000000	11.254750	-1295.156738	-3225.722900
127	-120079.593750	261249.078125	8.750693	32.287285	99644576.000000	-23893244.000000	11.254750	4751.080566	219.245697
128	165126.140625	575211.500000	42.658081	14.683525	-41108268.000000	-118354384.000000	11.254750	-4020.235596	-6409.661133
129	-139080.500000	-421641.156250	25.103712	-20.357002	5724668.000000	-11068463.000000	11.254750	-231.522217	-4156.785156
130	-150206.328125	539688.562500	13.051081	44.788784	16078262.000000	1144795.875000	11.254750	1651.662720	3894.816650
131	-111883.500000	-28594.984375	-13.691451	-3.321165	-6914910.500000	-2657107.000000	11.254750	-1889.580078	-1503.807373
132	-706383.187500	-106624.570312	-9.514790	19.161102	58594404.000000	91341496.000000	11.254750	725.635620	5819.035645
133	-106847.226562	86753.500000	-3.083745	22.295731	-9382248.000000	4982032.000000	11.254750	-566.922485	2760.015625
134	-606192.625000	-85523.062500	-32.197094	20.286879	7390798.500000	48137620.000000	11.254750	-3599.057373	3017.055420
135	263829.218750	437798.875000	14.055707	-8.214193	-75878736.000000	-108103952.000000	11.254750	-5090.403809	-6843.340820
136	-35256.507812	29170.664062	16.742302	14.634331	-9029137.000000	-6197820.000000	11.254750	-1888.823853	-1927.077515
137	-66430.398438	-91496.312500	-9.875203	4.825395	-14991418.000000	47978728.000000	11.254750	-2936.007568	1504.010376
138	-3309528.000000	-4565246.500000	313.186462	577.847107	1046338880.000000	756729728.000000	11.254750	21311.642578	6396.290527
139	-768310.125000	1913324.125000	93.852776	110.299088	4484455.000000	59561356.000000	11.254750	-3307.404541	5750.305664
140	1962474.750000	-414223.812500	9.870163	27.354601	-59455928.000000	70794864.000000	11.254750	-8793.151367	3059.238037
141	127610.781250	-2360814.500000	11.575319	-0.256943	-21259936.000000	281196352.000000	11.254750	193.558395	-3458.802246
142	1326407.375000	8414.230469	9.261806	34.611740	-242941616.000000	13784897.000000	11.254750	-7410.050781	471.053223
143	-627891.875000	123644.406250	-7.742849	18.298992	-9258007.000000	14257458.000000	11.254750	-4396.203125	22.276960
144	-1225709.250000	2330930.000000	-6.468456	-2.454605	123971608.000000	-256167584.000000	11.254750	-1866.934692	4429.019531
145	254574.000000	556223.937500	20.516216	-1.216656	-30133294.000000	-157234928.000000	11.254750	-629.622559	-8725.780273
146	1113220.375000	1703790.000000	-5.382416	4.586540	-169451904.000000	-189061136.000000	11.254750	2392.520752	3177.763916
147	329736.437500	-349870.875000	-3.509338	-11.976189	69496528.000000	-21430892.000000	11.254750	-3996.433594	2970.206787
148	2153258.750000	-1107654.000000	73.473572	71.173904	-21131296.000000	77589200.000000	11.254750	3054.831299	-2904.151611
149	-957429.812500	-1456424.875000	7.941574	-7.462723	114471944.000000	127751088.000000	11.254750	-2464.630127	-2684.528076
150	-4639600.000000	-3313225.000000	34.489418	-632.797974	127158344.000000	-415245920.000000	11.254750	-8427.946289	-20075.869141
151	-1486182.750000	-1697598.000000	-1.677475	1.642128	81667576.000000	106972368.000000	11.254750	-2060.566895	-2632.439209
152	1661817.000000	-52407.265625	4.517082	18.017147	-210079856.000000	38258140.000000	11.254750	3908.523682	-711.876099
153	437133.593750	667515.125000	29.154518	35.049576	-43731012.000000	18857078.000000	11.254750	3600.240479	-3800.951172
154	-803282.437500	2158730.000000	1.094048	4.650787	57631600.000000	-190813920.000000	11.254750	-1332.734375	3518.094971
155	1862792.000000	738138.125000	1.664192	-3.183249	-242081888.000000	-97791464.000000	11.254750	3114.746094	1363.225586
156	-677850.500000	-929337.312500	52.646393	24.376621	63181580.000000	195881376.000000	11.254750	-687.923950	5815.156250
157	1044328.875000	-740308.562500	20.998976	-75.276161	-115673112.000000	-23940906.000000	11.254750	-3988.706299	-4965.654297
158	645156.437500	-1299875.125000	9.340782	6.197514	-44791760.000000	92420456.000000	11.254750	2222.529785	-2865.196777
159	129282.546875	-238167.437500	31.944767	-8.153502	-43065424.000000	-3248584.000000	11.254750	-2176.659912	-3037.210938
