node	a_force.x	a_force.y	g_force.x	g_force.y	r_force.x	r_force.y	global_speed	move_node.x	move_node.y
0	-372463.000000	95362.085938	0.410744	-4.876385	41157460.000000	2117305.000000	5.814227	-3188.320801	-255.322983
1	-331978.562500	125217.054688	-0.570265	5.049879	94432904.000000	-3824006.250000	5.814227	-1187.854126	205.090225
2	468977.468750	-75958.718750	-1.105171	1.641541	-135318048.000000	2695909.500000	5.814227	2263.405273	-106.632027
3	14944.047852	4698.374512	4.208861	-4.353165	-3167628.750000	7315071.000000	5.814227	-5.866606	-40.517097
4	-811873.625000	-692114.250000	3.449852	-4.095028	60958276.000000	38652240.000000	5.814227	-3222.058838	-2495.621338
5	484917.250000	325688.156250	0.008579	-0.756025	-136204560.000000	-69428912.000000	5.814227	994.911743	914.887329
6	-386277.125000	-303923.937500	7.196541	-14.228542	56806860.000000	27812540.000000	5.814227	-4821.599121	-2200.768555
7	78200.062500	-249950.562500	12.091318	0.324108	5523714.000000	51235592.000000	5.814227	-17.539932	-672.850952
8	387556.062500	784921.500000	20.315613	-13.431389	-66441208.000000	-120544520.000000	5.814227	2150.239014	3930.284912
9	-1807.040039	1279.530273	-7.794135	-1.318588	-18958320.000000	-5050035.000000	5.814227	57.673420	-6.664497
10	-251645.562500	98726.023438	0.677870	0.541118	72819904.000000	-8425866.000000	5.814227	-834.269653	234.201309
11	63660.925781	-72692.156250	12.069806	-13.170979	-1646590.500000	14860243.000000	5.814227	93.407936	-255.056030
12	1504212.000000	-619707.375000	-12.548721	-27.024586	-186416944.000000	80032360.000000	5.814227	4859.171387	-2170.255615
13	-20526.121094	-10358.138672	-6.535225	-4.363883	4932625.000000	8418379.000000	5.814227	-52.421673	-25.155411
14	77574.796875	-19470.785156	0.974571	3.753405	-50360516.000000	14653973.000000	5.814227	495.699402	-74.781723
15	-582379.062500	-269827.750000	6.188141	-14.165766	49909320.000000	8628174.000000	5.814227	-2544.151611	-1181.724121
16	-321562.531250	-34664.554688	1.875130	-4.380492	65538980.000000	1066763.750000	5.814227	-1169.630005	-385.057312
17	558843.625000	578308.000000	30.365509	-17.038528	-74896920.000000	-145577552.000000	5.814227	3531.936035	6617.055664
18	-64450.230469	54420.480469	0.893775	1.873110	39683756.000000	-9017805.000000	5.814227	-442.395599	-28.758049
19	-144650.625000	426052.500000	5.776443	7.655930	-7344126.000000	16056356.000000	5.814227	-4274.706543	3375.070801
20	168818.625000	536955.625000	-6.209625	-4.868221	-25107722.000000	-138224784.000000	5.814227	640.757751	2259.341309
21	4553434.000000	-3300300.000000	30.279594	52.631355	-327952032.000000	351048384.000000	5.814227	2864.984375	-2699.039062
22	49444.328125	30682.390625	36.575798	35.254635	-33869876.000000	19108654.000000	5.814227	133.348572	-180.011093
23	213785.000000	844422.687500	10.474291	-3.017578	-39391032.000000	-141070400.000000	5.814227	1272.061035	3745.406738
24	-49691.039062	43004.476562	-1.617802	3.016179	13556102.000000	8061958.000000	5.814227	-251.459183	-74.733856
