node	a_force.x	a_force.y	g_force.x	g_force.y	r_force.x	r_force.y	global_speed	move_node.x	move_node.y
0	329011.156250	109212.156250	68.913490	32.045746	1668.070923	169.145462	1.500000	0.000000	0.000000
1	-100431.117188	89255.671875	-23.328152	21.904280	208.818954	-254.701706	1.500000	-86.086906	10.651430
2	-189771.531250	94927.062500	-38.690052	20.954239	-1398.949951	-396.033203	1.500000	-95.437943	5.997659
3	-16182.909180	1210.569946	-2.799495	1.078345	-20.470221	-56.198586	1.500000	-88.043564	-7.803315
4	-283585.156250	357170.687500	-52.167393	60.651165	-705.055298	2101.514160	1.500000	-88.307877	25.939646
5	-795.015137	-4164.477051	1.735738	-0.993586	30.519447	-27.231401	1.500000	-12.025123	-62.990429
6	-737.751465	2228.990234	1.310376	1.510932	19.793915	43.140076	1.500000	-14.917564	45.070877
7	-8838.411133	-4415.280273	-1.764026	-0.942450	-28.471956	-39.509701	1.500000	-88.034058	-43.977932
8	-860.196045	-1271.827148	1.951086	0.439616	11.921833	-37.656658	1.500000	-21.406273	-31.649853
9	-7463.605469	278.077148	-1.582151	1.223436	17.810345	-51.760941	1.500000	-85.374329	3.180856
10	2614.503906	1552.919434	1.494245	2.601390	7.366300	40.610573	1.500000	46.567383	27.659317
11	-1059.594238	186.363037	1.668217	1.103201	-22.770788	10.946105	1.500000	-31.348684	5.513654
12	6228.143066	-7530.687988	2.973671	-0.396583	38.155365	-52.040009	1.500000	62.371395	-75.415657
13	-6263.542969	-2222.464844	-1.992528	-0.172722	1.637687	-34.233452	1.500000	-75.899719	-26.931158
14	-980.049561	481.300537	1.615488	1.179067	-19.646435	38.626465	1.500000	-28.788383	14.137922
15	-791.663818	751.612793	1.588113	1.215688	-5.354339	59.925133	1.500000	-23.257002	22.080408
16	-4825.560059	-6698.671387	-0.168394	-1.992898	0.258003	-42.293858	1.500000	-52.530861	-72.921478
17	6605.579590	-10223.082031	3.727026	-1.452334	9.634250	-45.399963	1.500000	59.336281	-91.831406
18	-1420.063965	164.370117	1.613330	1.182018	-19.176043	2.405583	1.500000	-36.590790	4.235325
19	-8629.416016	1603.216797	-2.098620	2.143780	-94.153885	-131.614136	1.500000	-91.137123	16.931919
20	-2703.432129	2514.377441	0.714375	1.868065	11.344673	38.166862	1.500000	-43.772064	40.711025
21	-6711.216797	-5832.160645	-2.974960	0.386796	-14.112013	-62.220352	1.500000	-70.426819	-61.202091
22	-563.492432	-4569.917969	1.681962	-1.082129	32.014202	-37.905754	1.500000	-8.183557	-66.368561
23	-1431.661621	307.974121	1.575209	1.232362	-21.678057	28.300438	1.500000	-36.459068	7.842949
24	-1148.605713	2836.395508	1.118986	1.657670	15.840239	48.159298	1.500000	-20.394821	50.363476
25	-4720.809082	-1885.982910	-1.665807	1.106836	-3.170544	-21.886497	1.500000	-65.295311	-26.085749
26	-1226.768799	-4048.740234	1.705024	-1.045415	17.135424	-32.580540	1.500000	-18.575470	-61.305153
27	-7006.479980	-488.595703	-1.704992	1.045467	10.220960	-31.011520	1.500000	-82.617455	-5.761314
28	-1914.385254	-1538.360352	1.956598	0.414394	9.891869	-21.803692	1.500000	-37.865883	-30.428238
29	-8017.920898	-1162.772461	-1.939868	0.486737	-18.984703	-48.636951	1.500000	-88.099358	-12.776319
30	-6363.920410	2922.078125	-0.720704	1.865633	32.389568	57.322578	1.500000	-75.150604	34.506393
31	-3883.457031	149.892090	-1.326308	2.690893	41.558491	-0.166778	1.500000	-61.310719	2.366446
32	-9083.453125	2403.518555	-1.443200	1.384621	-116.785065	45.122841	1.500000	-92.751427	24.542404
33	-6797.102539	1521.818359	-1.920976	2.304312	93.996819	23.260483	1.500000	-80.478264	18.018457
34	-2738.971680	-3865.449707	1.379003	-1.448569	9.718268	-41.092716	1.500000	-39.223808	-55.355686
35	-2070.547363	-3710.740723	1.647319	-1.134170	15.505313	-36.373817	1.500000	-31.283363	-56.064621
36	-5763.281250	3461.418457	-1.394669	2.656106	68.159615	59.297920	1.500000	-69.442947	41.707333
37	-727.122559	-5489.762207	1.471245	-1.354784	22.987867	-40.672428	1.500000	-9.641519	-72.793289
38	-7678.833008	-427.121338	-1.785810	0.900491	-1.305819	-37.548592	1.500000	-86.574104	-4.815530
39	6575.286133	4873.975098	1.848266	2.363031	42.762577	77.056564	1.500000	71.884956	53.285206
40	-2897.585938	-3477.794434	1.481647	-1.343399	7.494572	-35.735748	1.500000	-42.436325	-50.933716
41	-4288.619629	-2392.691895	0.882497	-1.794770	-3.515845	-29.028574	1.500000	-60.336788	-33.662891
42	-2833.395508	436.563232	1.089940	1.676911	2.670439	12.457190	1.500000	-51.948120	8.004050
43	-7155.468262	-6611.707031	-2.914468	-0.711250	-35.350323	-63.278736	1.500000	-71.767212	-66.313446
44	-4602.192383	-11361.931641	-1.942145	-2.286499	-10.628786	-64.274689	1.500000	-41.194489	-101.701309
45	514.249023	-1040.915283	1.957129	0.411883	67.061569	-50.492550	1.500000	14.661965	-29.677963
46	-6859.188965	-3472.108398	-1.728885	-1.005463	-10.201845	-38.136868	1.500000	-77.346985	-39.152897
47	-3396.063721	-10835.078125	-1.670685	-2.491749	-1.459921	-59.287601	1.500000	-31.573948	-100.736092
48	-6375.450195	-1248.773438	-1.842973	0.776819	9.506248	-32.319534	1.500000	-78.129097	-15.303317
49	-8289.694336	2617.240234	-1.272269	1.543157	6.877594	421.429016	1.500000	-87.966934	27.773111
50	-421.083496	1371.420898	1.524539	1.294519	23.890089	55.938126	1.500000	-10.831382	35.276577
51	-6400.361328	-5347.353027	-1.027235	-1.716039	-8.416246	-43.821995	1.500000	-69.324509	-57.919014
52	-1737.493896	-5395.820801	1.261491	-1.551980	13.330701	-41.037563	1.500000	-22.774696	-70.727257
53	-6143.975586	2315.335449	-0.725300	1.863851	41.664154	38.351879	1.500000	-74.899689	28.225683
54	-1129.802734	-4900.960938	1.520935	-1.298753	17.908545	-40.422890	1.500000	-15.709385	-68.145599
55	-87.300781	-2295.726074	1.997631	-0.097325	35.795193	-34.491913	1.500000	-1.784159	-46.917576
56	-3685.616211	-2644.257812	1.599072	-1.201237	4.052601	-39.677551	1.500000	-53.922459	-38.686848
57	4.721680	-4787.349121	1.707088	-1.042041	36.963398	-35.255070	1.500000	0.067269	-68.204903
58	-7514.555176	-6451.763184	-1.149582	-1.636601	-13.219959	-42.852295	1.500000	-74.756813	-64.183876
59	-3110.328369	-2191.549805	1.992210	-0.176357	10.522273	-19.942425	1.500000	-49.619469	-34.962078
60	-6233.030762	-864.416748	-1.661629	1.113099	16.463053	-23.221996	1.500000	-77.596245	-10.761297
61	-8539.325195	-1360.556641	-1.971509	0.336382	-19.795183	-39.945450	1.500000	-90.854103	-14.475635
62	26068.994141	-11269.528320	4.969697	-0.549645	109.125343	-91.331734	1.500000	153.776871	-66.477165
63	-878.396729	-4287.173340	1.699479	-1.054406	19.438271	-42.543388	1.500000	-13.080504	-63.841759
64	-9168.890625	2563.571289	-1.431428	1.396787	-112.802376	67.392197	1.500000	-93.016068	26.006779
65	-6976.792969	2141.688965	-1.034090	1.711917	43.190384	39.860130	1.500000	-80.722824	24.779749
66	-1371.867920	-1645.491699	1.980446	0.278989	12.186873	-28.523235	1.500000	-29.012426	-34.799053
67	-8512.524414	-1377.699219	-1.972504	0.330495	-2.559110	-66.604431	1.500000	-90.692230	-14.677975
68	-2348.173096	-2924.837402	1.854317	-0.749338	14.174943	-31.958176	1.500000	-37.725368	-46.989964
69	-4369.224121	-1746.312988	0.482322	1.940970	4.085853	-16.424786	1.500000	-62.780636	-25.092474
70	-3132.659180	-2724.862305	1.792393	-0.887315	9.754444	-31.834362	1.500000	-47.874088	-41.642036
71	-9348.899414	-5086.612793	-1.703427	-1.048015	-30.316858	-36.992710	1.500000	-89.750526	-48.832077
72	-675.980469	2387.484863	1.295291	1.523884	26.850571	54.396179	1.500000	-13.303292	46.985691
73	-5180.822754	-6458.872559	-0.335027	-1.971739	-4.281664	-40.388824	1.500000	-56.316742	-70.209442
74	-12345.709961	-23026.054688	-2.985291	-2.662337	-49.524197	-74.947632	1.500000	-75.909027	-141.578369
75	300.556641	-10158.132812	0.714784	-2.913603	1.476492	-59.099857	1.500000	2.952144	-99.775772
76	4821.817383	-1699.417969	1.548699	1.265516	1.827457	-2.137699	1.500000	66.506042	-23.439619
77	7012.658203	-1576.960449	1.872040	0.703895	-6.596990	-48.452370	1.500000	81.750931	-18.383612
78	-1132.479492	-621.130859	-1.748688	0.970613	-3.883434	-52.686264	1.500000	-30.657864	-16.814915
79	7316.061035	-7056.762695	1.425259	-1.403081	27.008652	-42.032509	1.500000	71.852531	-69.305908
80	5122.635742	-6416.125000	0.981583	-1.742554	8.893641	-41.874203	1.500000	55.917633	-70.037094
81	-1734.878906	-3004.625000	-1.999984	0.007929	-44.496929	-40.181862	1.500000	-28.961641	-50.158470
82	5118.578125	-7002.795898	0.865051	-1.803243	6.801504	-45.071598	1.500000	54.375141	-74.391365
83	-1202.129883	-3984.987793	-1.953929	-0.426804	-38.625454	-41.095203	1.500000	-18.348545	-60.824318
84	3252.561035	-2326.746094	0.101831	1.997406	5.243360	-8.759563	1.500000	50.632549	-36.220409
85	7448.894043	-6635.490234	1.520457	-1.299312	31.956743	-40.011375	1.500000	73.840088	-65.776909
86	8128.585938	1344.602051	1.499049	1.323953	47.703682	47.690044	1.500000	88.576416	14.651999
87	1458.091309	697.212891	-0.861620	1.804885	43.990681	19.668514	1.500000	35.388748	16.921774
88	6912.282227	-478.123779	1.651668	1.127827	-14.080280	46.215385	1.500000	82.055214	-5.675774
89	7418.535156	785.750000	1.486471	1.338060	35.500774	52.065140	1.500000	84.907974	8.993210
90	6142.583008	-3294.140625	1.990671	-0.192954	14.019464	-31.422277	1.500000	72.704216	-38.989773
91	93.437500	-3343.575195	-1.989723	-0.202489	-11.652353	-42.276917	1.500000	1.588129	-56.829750
92	-878.891602	-7201.879883	-1.395292	-1.432885	-20.011019	-40.907322	1.500000	-10.198548	-83.569717
93	-805.868164	-6319.346680	-1.543148	-1.272279	-21.376591	-39.495663	1.500000	-9.971695	-78.194679
94	6291.656250	-7797.783203	1.084212	-1.680620	15.211030	-45.354584	1.500000	62.233582	-77.131355
95	738.557129	-2893.683594	-1.997079	0.108042	-1.537475	-38.654240	1.500000	13.271848	-51.999401
96	-99.241211	-5304.297363	-1.644786	-1.137839	-18.300093	-42.402687	1.500000	-1.344058	-71.837952
97	-1783.641602	711.361572	-1.602179	1.197089	-88.371796	25.495237	1.500000	-39.794941	15.871233
98	1807.573730	-7293.747070	-0.619464	-1.901648	-11.849452	-37.859215	1.500000	20.614264	-83.180687
99	2509.286133	1107.162109	-1.078669	1.684183	49.588287	22.970161	1.500000	47.016212	20.744772
100	11319.132812	-13159.726562	1.165574	-2.764315	9.468266	-61.835571	1.500000	85.266617	-99.131737
101	-100.418457	-1330.213623	-1.931636	0.518443	-54.532471	-49.241009	1.500000	-2.676117	-35.449726
102	1109.474121	-4263.545898	-1.842255	-0.778522	-21.134729	-42.412918	1.500000	16.467339	-63.281559
